port,2020-21,2021-22,2022-23,2023-24,2024-25P
SMP Kolkata DS,51.01,82.80,48.88,73.89,71.71
SMP Haldia DC,69.79,51.19,51.52,50.12,46.79
Paradip Port Authority,58.08,53.16,46.27,41.24,44.88
Visakhapatnam Port Authority,66.00,73.83,73.19,65.86,69.19
Chennai Port Authority,42.96,46.38,45.26,43.36,46.52
Kamarajar Port Ltd.,51.36,53.19,48.08,44.92,48.77
V.O.Chidambanar Port Authority,40.80,48.54,46.89,51.46,55.51
Cochin Port Authority,35.76,45.87,39.45,33.40,32.41
New Mangalore Port Authority,47.52,47.99,44.90,40.87,40.43
Mormugao Port Authority,57.84,63.94,54.59,57.78,61.16
Jawaharlal Nehru Port Authority,28.56,28.04,28.27,26.27,26.35
Mumbai Port Authority,49.68,57.99,50.40,46.90,49.57
Deendayal Port Authority,62.16,59.99,77.58,98.36,125.84
All Ports,52.32,53.34,51.48,52.82,58.28
